skill,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Vital Signs,0.0651425959686678,0.009807960900511704,0.002906177323027703,0.009893485714621293,0.0011772085797081833,0.028126922212013707,-0.006750395868449628,-0.01361621576663272,0.041914865683772784,0.03377874042567381
Medical Communications,0.0160392379707331,0.036951005409342784,0.00485388271533794,0.14312600386887636,0.0022160316302544084,-0.0454469096730292,0.00443616089675826,0.15934684440890257,0.16135566328436746,-0.02877046825057625
Medical Terminology,0.10784764461827409,0.009653077176701401,0.0032098243123107103,0.029092633943962175,0.0020662472876083124,0.044080409097648786,-0.01072989783658159,0.0007500619444424394,0.021676303300427933,0.1889292755984462
Transmission Electron Microscopy,-0.0017475691629762295,0.07862840730390054,0.010381070318624714,-0.049022502009787215,0.004331643101802463,-0.016649286055134275,-0.0024589683351525704,-0.04187562582879532,0.03417981440232093,0.004699666537194376
Healthcare Management,0.218419324430815,0.009840322823396148,0.004754222437208036,0.053019566615866466,0.0036062725148984756,0.023131673054524536,-0.005824297788186962,0.04876266704444681,0.02195628306104677,0.12558016338737377
Human Immunology,0.003915265022591033,0.06319664537395506,0.007814287626027924,0.05131987861990173,0.0031522386674441632,-0.06761552119226204,0.004612375179932454,-0.026707217742942362,0.05320914546182877,-0.039920802449493
Chemistry Teaching,-0.001936006953476221,0.08210799059225285,0.00943843333919057,-0.05130462880390304,0.0029491962174844977,0.03670247325875519,-0.004464787656999207,0.08632069671651489,-0.02476169989255118,0.0037783614736034317
Family Mediation,-0.006531704657206546,-0.03568551413148672,0.3065223271803015,-0.00017941348541168647,0.005670400406420715,-0.01202991031451614,-0.004520833196220917,-0.0024958635871474193,-0.00033260832509613054,0.009555065833880752
Construction Management Software,-0.003956054052822393,-0.010247379647822713,-0.007783247700878977,-0.002057679904389091,-0.008202267293144182,-0.047209967178966326,-0.4844708953178634,0.010880521126248273,-0.008748240285701493,-0.012398376407800123
Synthetic Chemistry,-0.001781597951464744,0.05301098556525541,0.00588266878334029,-0.029960995447260937,0.003033859490374035,-0.021454687857361987,0.0013371609791415246,-0.02640262163356452,0.026700883483215348,0.010568215778389902
Laboratory Management System,0.008430162867258546,0.028403135404015747,0.0029128629299733848,0.00862326573400686,0.0004147931979221698,0.01697201841757684,-0.0022409059835162143,0.024851207324742917,0.012120938482519255,0.024545388237325053
Fluorescence Microscopy,0.0010966583253790197,0.11737957572346425,0.014749692074734077,-0.035143517357116946,0.0059586964174001686,-0.046660376056298435,-0.005095800995892412,-0.1877666611834358,0.1172250605526278,-0.007403045077590965
Pediatric Emergency Medicine,0.0727829145577119,0.010021757445209356,0.002629373922998067,0.04472001417185535,0.0034000355449026734,0.030857240940468846,-0.009865701350968412,0.008948295755611723,0.02842015428321751,0.19215210451609516
Planetary Science,-0.0065448435946910515,0.16833484147638567,0.01948623070328696,-0.12631868889616657,0.006364068010855552,0.018524618155523958,-0.0009951974570338537,0.15279437320616893,-0.05628445516510059,0.015342584011730134
Rna Isolation,0.0014434790771192512,0.05403582746652022,0.00663938072690495,-0.0010066834465592984,0.002095677875195372,0.004980762738513918,-0.005326468735888531,-0.09031715120310081,0.07495696243231727,-0.01563745577855353
Pharmaceutical Microbiology,-0.0013347992237340066,0.06278589824499316,0.007951817901949855,-0.03774890683068543,0.0031825992460079826,-0.0215294060035832,-0.0025694453652453137,-0.06641048881514315,0.04803663999956694,0.008089046632403472
Technical Research,0.026020258961720315,0.04587999337139303,0.005953844771218168,0.09666468123189917,-0.0002906263796306555,0.0527201331406122,-0.0067225864054060325,0.056306249521037806,-0.015119789012123915,0.01354960380184511
Behavioral Healthcare,0.01373910868463583,0.02830785210248028,0.00352184175126836,0.011414202242570457,-0.001371492875882569,0.12056166434575578,-0.013105592843123758,0.050846452226167044,0.028039323848145108,0.03191670556431386
CPR Certified,0.21997822059494535,-0.014631569529651398,0.006296179683062676,-0.032522848337154575,0.0062135395264749866,-0.003943807260703371,-0.0015450321297210306,0.006131254600587315,0.017582986028283995,0.027049884976634533
Atomic Spectroscopy,-0.00028110015350486946,0.05634833783312068,0.006599972516081651,-0.043391049474513825,0.005095273469499705,-0.009086193239697664,0.0003030675335229785,0.04141342078111657,-0.009973859752927553,0.03203904890287269
Praxis EMR,0.04019171848577034,0.02033240811672729,0.0030362721974943646,0.07004084000794507,0.0012358684088753127,0.0190296074490228,-0.006424937986927948,0.11449868935581765,0.11198842667242913,0.18682110101314903
Molecular Biology,-0.004923183728234784,0.24440823619596777,0.028023493318420543,-0.14021458825919683,0.008603394385390449,0.005446238850468555,-0.002172812844649111,0.12047919710544434,-0.05190031956674687,0.02734228658977609
Clinical Research Protocols,0.05293524386233426,0.01847307021613335,0.0022174684635253047,0.029723383828651365,-0.001000389842251263,0.07198962142223132,-0.013136741138910819,-0.04942745294541295,0.021577293471188724,0.16435092952591507
Epidemiology of Cancer,0.01765909398207911,0.04606863774830913,0.005393510910541069,0.10063468422480545,-0.00034051817063752976,-0.017638195393972694,0.0010988754935748197,-0.06456670943038682,-0.1280896575462716,0.004445692387147523
Adherent Cell Culture,-0.005161536442294868,0.2365036879749224,0.02797597802793563,-0.14865340825532888,0.009449871796131272,-0.00999590086812652,-0.0019618573017187537,0.07655551666706403,-0.024549938996756122,0.03195816151883575
Direct Patient Care,0.06112555668698135,0.012029365527055524,0.008360880133745634,0.02148491374466019,0.0030723273432796965,0.016662614415531563,-0.005029023069679221,0.002902093108689218,0.015895841603464314,0.04320710788341146
Laboratory Instrumentation,-0.0017045217842514384,0.07260095017257216,0.008717531963560943,-0.03763814572460498,0.0036981798275655454,-0.03947102616152235,0.00011370690673486986,-0.07396731725936241,0.05219146318788656,0.014475027566363433
Program Evaluation,0.011349792297575502,0.01561106128443903,0.0067660889797412326,0.028999114626511186,-0.0019567553177365143,0.120090985072638,-0.011645037727113308,0.011885055338059674,-0.017535143523714738,-0.039115549061163365
Collaboration in Healthcare,0.02615645028570122,0.05117556479543533,0.006137928978055094,0.19220546637334646,0.019016495498882853,-0.08507959206467686,0.00914182508814878,0.2151286477091132,0.2352729442507769,-0.05468563462506574
Trial Practice,-0.008018886466813311,-0.04047554792106957,0.3357085008542775,-0.0011814829601367867,0.0050602652519806226,-0.012828498865811663,-0.003774556121243719,-6.575041860468082e-05,-0.002317123336346313,0.0067245850627377845
DNA Extraction,0.0024688879709606365,0.0736163704374075,0.009510695243486774,-0.022063439103821688,0.0032199016711405718,-0.0066786701215819574,-0.007591447253012349,-0.10267747272567927,0.08671699949583908,0.011686557898160942
International Arbitration,-0.004959173710921769,-0.026483345023236064,0.22843578657318675,-0.0015480365361874283,0.002747080127055492,-0.021583707683899177,-0.0028644200520346694,-0.001801764194026559,-0.002353086508443119,0.016293803657719527
Biophysical Chemistry,-0.0011698846359586366,0.08760124279294251,0.0107992401558978,-0.04990669571832542,0.005465838083374485,-0.014376824836702948,-0.0002407887193164402,0.047149621235841224,0.0003495842864942825,0.01013367154740559
Applied Science,-0.0022134954234212544,0.146225479585556,0.016417433625316835,-0.08265662570535462,0.004943800982559306,0.028715824246227237,-0.005105162619099536,0.09175808942620745,-0.046196123987511266,0.024109297892334607
Military Tactics,-0.0031256766723820246,-0.013472753650205432,-0.009470191292837216,0.0012268852000811516,0.40998103139867226,0.0023235475443112302,-0.006756691657042155,-6.38968069225219e-05,-0.004367093422552368,-0.0035887187475557103
Emr Training,0.09968242205703688,-0.0048035260381032755,2.5656363174087808e-05,0.0071041927234755916,0.006811786032933383,0.07070323747509992,-0.0079709129895008,-0.05159480624961944,0.012450595756525563,0.009260273668493572
Biochemical Genetics,-0.0034128464436245067,0.13964760410205806,0.017823562005528874,-0.08794626527544816,0.007147383845022649,-0.04179408849804799,-0.0031081355940849827,-0.10454566000652307,0.05780200673534774,0.006358839716996895
Analytical Biochemistry,0.0005460006163542103,0.2278418258494285,0.026298067195343146,-0.07743759630252102,0.008011787587991268,-0.01639711943938378,-0.001731035987625105,-0.0008644899128234936,-0.07819130447889498,0.0014591815710719392
Litigation Support,-0.0020160479458734394,-0.008822456285795952,0.04707408001474491,0.005062042899987743,-0.0023050100870983885,0.06461903453209754,-0.004077428935513126,-0.020826826298706313,0.016190108430263958,-0.053392109944400704
Healthcare Delivery,0.05594955361186381,0.015121187783051835,0.0023389329164252366,0.04860197064027654,0.00016371771269894255,0.11360747122883254,-0.01777462485675679,-0.0530831433747749,0.03173760983582303,0.16869936737265606
Electron Microscopy,-0.0021454797690745155,0.1036111502596098,0.013472327689933315,-0.07422567933182213,0.005961015041226964,-0.037384217163658875,-0.0018942293279388257,-0.04594373912147522,0.04131742653832112,0.016746027843501196
Fundamental Science,-0.0008659824082580844,0.01541180316432353,0.0005026990155462144,-2.427906208605233e-06,-0.0014249997760447408,0.036676376463411736,-0.0020932784903688645,-0.01301465574237524,-0.012050901883512927,-0.024115155837187766
Multi Color Flow Cytometry,0.002405216466681845,0.0861480441498343,0.0109696162260743,-0.02021723110384349,0.004482773716442058,-0.02978965121762411,-0.004390685652210397,-0.12481404155418005,0.11730469062155303,0.012371487146930588
Life Science,-0.001222524083409433,0.2319727739899932,0.02734590859917001,-0.11620242091164494,0.00865897345029736,-0.01093738335995439,-0.004069856699170752,-0.014501033714331988,0.0093531294830337,0.026862511972093186
Healthcare Information Technology,0.19495735899199254,-0.00352677901984002,0.0034835547826015207,0.019645445033637552,0.003840029471373025,-0.00998797896274408,-0.003571355784143099,0.04797448079596324,0.03377982430989756,0.15514713422684312
Particle Physics,-0.004259803213359932,0.06984166177762491,0.006510753707689791,-0.061787476793416285,0.003644082421485039,0.0006364782622598553,0.0023858168272677155,0.07805022578749286,-0.044948198236819614,0.02025551927920044
Global Health,0.014432211168760296,0.017308022149707673,0.00588165064836367,0.01962323616046713,-0.0010417118326516662,0.06205797431164208,-0.006927312790977574,0.008088221989925893,-0.015909700107270903,-0.001566185099866659
Science Education,-0.00013538558841519379,0.01901962118153044,0.0023377830677712794,0.0025352261216749486,-0.003135398781652963,0.11652271152607774,-0.010732295662059065,-0.03385803139747332,0.049744077076397,-0.04048309830406511
Weapons Training,-0.003324538469512484,-0.0113509702826469,-0.007538147294851352,0.0005035812557676007,0.3451775989054614,0.006384632373038572,-0.005029549243623677,0.003420324977091053,-0.002845073205377144,-0.00454692554693584
Psychological Research,0.0037785647799260915,-0.0016395317989870842,0.021895768210329368,0.025333937890991802,-0.004616272164465876,0.1828903684647147,-0.014462268145643496,-0.03635954871717259,0.03379461901023843,-0.12449440473751693
SPSS Statistics,0.0066716571588726,0.021413957039697677,0.0022182747077177547,0.018906888039178404,-0.004325106102078521,0.14450934930307352,-0.01399701400868675,-0.028738220236231467,0.01742571770550258,-0.08855464117376789
Court System,-0.006917462670106496,-0.03533203339529943,0.2874031642805437,-0.0005624547255040091,0.004700421878311254,-0.018564794605772494,-0.002789698271893422,3.311208684477045e-05,-0.0022434053391700666,0.011969758287749401
Electronic Health,0.05453733006242649,0.014252606444541887,0.0027666988074115323,0.04982338407461915,0.0006533691401508627,0.014842888458141782,-0.007212995634153078,0.03813257841799094,0.03050790355790112,0.20300408966747147
Eight Disciplines Problem Solving,0.040020733566236,0.03840189572841586,0.012788420841903264,0.06235494333306761,0.002449000509174235,0.0964725833560818,-0.009305807614980776,0.0012891730920581443,0.007553129299562549,-0.01960194449719305
Bacterial Cell Culture,0.0012980288345000813,0.05482765401873714,0.0066922250914893625,-0.009876056010698887,0.002732414318301992,-0.016247352680506415,-0.0027743452109567743,-0.07917545185239178,0.07528352944950353,0.0003172772178919064
Professional Writing,0.0002915726427974465,0.03499174090693781,0.014330528600968786,-0.01247081818655341,0.007297607182854294,0.04308338545989474,-0.0031090276650407277,0.053817349600141076,-0.02521071064326596,-0.013621696461943928
Construction Coordination,-0.0030452168738007578,-0.007832173177358105,-0.006026752438768267,-0.0016097095600862935,-0.006389028366122585,-0.03670527064151125,-0.38033344985784545,0.009113179511963844,-0.007428566785968442,-0.009678105846816077
Confocal Laser Scanning Microscopy,0.0014077682086658927,0.05656453096021141,0.0066524412541254995,-0.03273652569951421,0.0027925702491022994,-0.005281318995599939,-0.0036300033205993922,-0.08272699598725505,0.05794921999792156,0.009684876107606431
Organic Synthesis,0.00030116474582308865,0.042973015648097634,0.004324562728211845,-0.03004661567087391,0.014096474812092145,0.006260495766545215,-0.00020522368592352385,0.04358459088705394,-0.003350091444074914,0.013423534360969195
Aggression Replacement Training,0.00697694766914443,0.006508956563273232,0.006764027174402714,0.02495090613800831,-0.003546552134676846,0.17743047665578232,-0.01680764654076616,-0.026372090467792417,0.02509627485424412,-0.09874424010759957
Planning Appeals,-0.007561152863136127,-0.03920059861806032,0.3289139898848751,-0.0019709788645355907,0.005540402596810067,-0.020865597500922685,-0.0037114986418935567,0.0009612372320856678,-0.002166219171717923,0.012928995063825869
Clinical Laboratory Training,0.002765421359839821,0.1182449082765132,0.01209539336621943,-0.03984063801409717,0.002034614591368838,0.07978803325543302,-0.005987269619911744,0.1613656944843596,-0.08781810922274745,0.031059544987323547
