skill,users,target_users,non_target_users,log_odds_target,abs_log_odds
Collaborative Problem Solving,247,128,119,-0.3437360609816995,0.3437360609816995
Java Object-Oriented Querying,54,28,26,-0.34358923966297983,0.34358923966297983
PySpark,57,39,18,0.342181345877389,0.342181345877389
Educational Leadership,576,299,277,-0.3400551095763933,0.3400551095763933
Vero Data-Driven Email Marketing Software,25,13,12,-0.33938755280927957,0.33938755280927957
Self Presentation,337,175,162,-0.33938755280927957,0.33938755280927957
Sales Tax,60,41,19,0.3389303677215434,0.3389303677215434
Piano,50,26,24,-0.3378769785039131,0.3378769785039131
SolidWorks Composer,246,128,118,-0.33533265018532,0.33533265018532
Teaching License,38,26,12,0.3350674947385128,0.3350674947385128
SAP Project Management,94,64,30,0.3325899462429529,0.3325899462429529
Marketing Resource Management,41,28,13,0.33086580788481346,0.33086580788481346
Keras,72,49,23,0.3286236544791237,0.3286236544791237
JavaScript Libraries,44,30,14,0.3272294402414291,0.3272294402414291
End User Training,75,51,24,0.32656009617360127,0.32656009617360127
Music Video Production,88,46,42,-0.32640035728246897,0.32640035728246897
Fixed Asset Management,47,32,15,0.32405147146508284,0.32405147146508284
VBA Excel,2243,1518,725,0.3222686182161527,0.3222686182161527
Bloomberg for Education,50,34,16,0.3212503491853713,0.3212503491853713
Computer Vision,254,172,82,0.3212503491853709,0.3212503491853709
Social Media Apis,1645,1112,533,0.31855734935317925,0.31855734935317925
Agile Project Management Tools,130,88,42,0.31714988213810447,0.31714988213810447
5s Methodology,57,30,27,-0.3128079150045675,0.3128079150045675
Social Media Branding,188,127,61,0.31273059584060015,0.31273059584060015
Verilog HDL,108,73,35,0.3114041157920129,0.3114041157920129
Customer Service Desk,1409,950,459,0.3105006261873342,0.3105006261873342
3D CAD,564,297,267,-0.31005393529578473,0.31005393529578473
Parametric Modeling,55,29,26,-0.3091030635918104,0.3091030635918104
Business Process Improvement,36,19,17,-0.30813500930517534,0.30813500930517534
Java APIs,25,17,8,0.3057861234877901,0.3057861234877901
SAP Human Resource Management Software,25,17,8,0.3057861234877901,0.3057861234877901
Iphone Development,25,17,8,0.3057861234877901,0.3057861234877901
Quantitative Analysis,337,227,110,0.30578612348778966,0.30578612348778966
Microsoft,3163,2129,1034,0.3056203982322625,0.3056203982322625
Powerpoint Animation,7378,3897,3481,-0.303476507396078,0.303476507396078
Firmware Architecture,28,19,9,0.30277407301779835,0.30277407301779835
Probability Theories,28,19,9,0.30277407301779835,0.30277407301779835
Data Presentation,87,46,41,-0.30258970858875056,0.30258970858875056
Urban Economics,34,18,16,-0.30193824276766446,0.30193824276766446
Crossfunctional Collaboration,34,18,16,-0.30193824276766446,0.30193824276766446
Human Computer Interaction,34,18,16,-0.30193824276766446,0.30193824276766446
Construction Project Management,34,18,16,-0.30193824276766446,0.30193824276766446
Unobtrusive JavaScript,51,27,24,-0.3008357068235643,0.3008357068235643
ReactJS,220,148,72,0.30064980243671746,0.30064980243671746
Business Decision-Making,31,21,10,0.3003290840247308,0.3003290840247308
Creative Problem Solving,236,125,111,-0.29806742627374305,0.29806742627374305
