skill,users,target_users,non_target_users,log_odds_target,abs_log_odds
Scripting Language,99,63,36,0.13737905136479256,0.13737905136479256
Cadence Virtuoso Layout Editor,35,20,15,-0.136763731726246,0.136763731726246
Digital Marketing Production,88,56,32,0.13665195487129456,0.13665195487129456
QuickBooks Online,25,16,9,0.13571998835463184,0.13571998835463184
Medical Image Processing,25,16,9,0.13571998835463184,0.13571998835463184
Project Analysis,25,16,9,0.13571998835463184,0.13571998835463184
Detail Engineering,49,28,21,-0.13449744180442025,0.13449744180442025
Film Production,49,28,21,-0.13449744180442025,0.13449744180442025
Simulation Software,98,56,42,-0.13161203172338443,0.13161203172338443
Final Cut Pro,105,60,45,-0.1314175548655161,0.1314175548655161
Innovation Leadership,44,28,16,0.1301951124226619,0.1301951124226619
Startups,74,47,27,0.1301951124226619,0.1301951124226619
Systems Engineering,93,59,34,0.12866839456886225,0.12866839456886225
English Skills,63,40,23,0.12795295901697212,0.12795295901697212
Digital Marketing Innovations,63,40,23,0.12795295901697212,0.12795295901697212
Fault Tree Analysis,63,40,23,0.12795295901697212,0.12795295901697212
Web Scraping,63,40,23,0.12795295901697212,0.12795295901697212
Digital Content Strategy,68,39,29,-0.12443818538410589,0.12443818538410589
Adobe Premiere Pro CC,199,114,85,-0.12429014689382889,0.12429014689382889
Test of English as a Foreign Language,147,93,54,0.1234121406800357,0.1234121406800357
Java Security,54,31,23,-0.12336146926393354,0.12336146926393354
Business Statistics,47,27,20,-0.12258747541724535,0.12258747541724535
Financial and Business Management System,40,23,17,-0.12154905372476321,0.12154905372476321
jQuery Mobile,40,23,17,-0.12154905372476321,0.12154905372476321
Linux Kernel,79,50,29,0.12123447899013229,0.12123447899013229
CNC,33,19,14,-0.12008277780223597,0.12008277780223597
Hindi Language,33,19,14,-0.12008277780223597,0.12008277780223597
Microeconomics,33,19,14,-0.12008277780223597,0.12008277780223597
UI/UX Wireframing,33,19,14,-0.12008277780223597,0.12008277780223597
Java Software Development,41,26,15,0.11995611512156756,0.11995611512156756
Security Event Management,106,67,39,0.11947833202600044,0.11947833202600044
Decision Science,242,139,103,-0.11785560538941153,0.11785560538941153
Sales Funnel,26,15,11,-0.11785560538941109,0.11785560538941109
Convolutional Neural Networks,49,31,18,0.1158682198019001,0.1158682198019001
Multivariate Testing,49,31,18,0.1158682198019001,0.1158682198019001
Influencer Marketing,59,34,25,-0.11406772207247418,0.11406772207247418
User Design,99,57,42,-0.11406772207247418,0.11406772207247418
PeopleSoft Customer Relationship Management,165,104,61,0.11380130264698529,0.11380130264698529
International Business Development,57,36,21,0.11291073150942044,0.11291073150942044
Responsive HTML,30,19,11,0.11171883625508894,0.11171883625508894
Manufacturing Systems Engineering,30,19,11,0.11171883625508894,0.11171883625508894
Platform Product Management,30,19,11,0.11171883625508894,0.11171883625508894
Sales Engineering,30,19,11,0.11171883625508894,0.11171883625508894
Integrated Circuit Design,30,19,11,0.11171883625508894,0.11171883625508894
Highspeed Printed Circuit Board Design,108,68,40,0.10918317721027826,0.10918317721027826
User-Centered Design,73,46,27,0.10891771397537653,0.10891771397537653
Continuousflow Manufacturing,248,143,105,-0.10872451166185337,0.10872451166185337
Product Roadmap Development,38,22,16,-0.10619366564156874,0.10619366564156874
Big Data Analytics,83,48,35,-0.10431749248334032,0.10431749248334032
Generative AI,78,49,29,0.1012338122834624,0.1012338122834624
Video Editing Software,110,69,41,0.09928473138868554,0.09928473138868554
Search Engine Optimization,107,62,45,-0.09889436315995681,0.09889436315995681
Labour Market Research,206,129,77,0.0970543508348829,0.0970543508348829
Microsoft PowerPoint,927,537,390,-0.09684780322333086,0.09684780322333086
Castilian Spanish Language,112,65,47,-0.09502816234479727,0.09502816234479727
Business English,91,57,34,0.09447702982058281,0.09447702982058281
Statistical Analysis Software,59,37,22,0.09447702982058281,0.09447702982058281
Android Emulators,27,17,10,0.09447702982058281,0.09447702982058281
Health Economics and Outcomes Research,35,22,13,0.09447702982058281,0.09447702982058281
Television Programming,27,17,10,0.09447702982058281,0.09447702982058281
Mobile Product Development,67,42,25,0.09447702982058193,0.09447702982058193
Artificial Intelligence Development,93,54,39,-0.09444856418328573,0.09444856418328573
Voice User Interface Design,74,43,31,-0.09357520168235656,0.09357520168235656
Market Research Techniques,645,403,242,0.09282618338705761,0.09282618338705761
Internet Recruiting,36,21,15,-0.08913568273699202,0.08913568273699202
iMovie,36,21,15,-0.08913568273699202,0.08913568273699202
Competitive Analysis,80,50,30,0.08789805872254064,0.08789805872254064
Software Systems Engineering,91,53,38,-0.08732518133718603,0.08732518133718603
Leadership in Energy,91,53,38,-0.08732518133718603,0.08732518133718603
Microsoft Java Virtual Machines,72,45,27,0.08717772733897089,0.08717772733897089
LTspice,48,28,20,-0.08686939281516537,0.08686939281516537
Continuous Improvement Methodologies,206,120,86,-0.0848432549525322,0.0848432549525322
Oracle JavaScript Extension Toolkit,109,68,41,0.08479172408611912,0.08479172408611912
Seaborn,48,30,18,0.08360735758367888,0.08360735758367888
Model Based Systems Engineering,114,71,43,0.08058791765991558,0.08058791765991558
IBM Data Management,114,71,43,0.08058791765991558,0.08058791765991558
Java Secure Socket Extension,41,24,17,-0.07987635732419562,0.07987635732419562
Mechanical Engineering Support,41,24,17,-0.07987635732419562,0.07987635732419562
Remote Infrastructure Management,29,17,12,-0.07987635732419474,0.07987635732419474
Health Economics,29,17,12,-0.07987635732419474,0.07987635732419474
Computational Physics,29,17,12,-0.07987635732419474,0.07987635732419474
PyTorch,320,199,121,0.0795513796039069,0.0795513796039069
Engineering Research,69,43,26,0.07926761115705361,0.07926761115705361
Korean Language,69,43,26,0.07926761115705361,0.07926761115705361
Sales Training,178,104,74,-0.07796064792605595,0.07796064792605595
Adobe Photoshop Lightroom,462,270,192,-0.07617264938671076,0.07617264938671076
HTML Application,289,169,120,-0.07514542005561298,0.07514542005561298
Strategic Sales,70,41,29,-0.07504543005453002,0.07504543005453002
Security Research,53,33,20,0.07477195874125009,0.07477195874125009
Management Reporting,176,103,73,-0.0740623874587758,0.0740623874587758
Power Electronics Engineering,58,34,24,-0.07406238745877491,0.07406238745877491
Aerospace Technology,58,34,24,-0.07406238745877491,0.07406238745877491
Linux on Embedded Systems,224,139,85,0.07319963137329744,0.07319963137329744
Teamwork,4363,2553,1810,-0.07248667706340539,0.07248667706340539
CATIA,198,116,82,-0.0712556142802887,0.0712556142802887
Web UI Design,34,20,14,-0.07007235722757432,0.07007235722757432
Motion Graphic Design,192,119,73,0.06968237120736553,0.06968237120736553
Julia,63,37,26,-0.06915239396121997,0.06915239396121997
Natural Language Processing,260,161,99,0.06799890455275603,0.06799890455275603
Dedication To Continuous Improvement,109,64,45,-0.06739569610058549,0.06739569610058549
Classroom Design,37,23,14,0.06650317777817616,0.06650317777817616
Computer Security Awareness Training,71,44,27,0.06495459055426078,0.06495459055426078
Atlassian Confluence,50,31,19,0.06322448631647859,0.06322448631647859
Mutual Funds,50,31,19,0.06322448631647859,0.06322448631647859
Mentoring New Hires,39,23,16,-0.06270855370182993,0.06270855370182993
Visual for Applications,110,68,42,0.06098107539240072,0.06098107539240072
Data Analysis Tools,1190,734,456,0.05925270163350094,0.05925270163350094
Hardware Troubleshooting,29,18,11,0.05907510276966654,0.05907510276966654
Crossfunctional Project Management,175,108,67,0.05827398115662241,0.05827398115662241
Css Frameworks,42,26,16,0.05743575814023316,0.05743575814023316
New Media Marketing,42,26,16,0.05743575814023316,0.05743575814023316
Spreadsheet Management,27,16,11,-0.055335248408077575,0.055335248408077575
Visual Arts Painting,27,16,11,-0.055335248408077575,0.055335248408077575
Apache Airflow,47,29,18,0.05027093731608723,0.05027093731608723
Organizational Effectiveness,34,21,13,0.04901465574382513,0.04901465574382513
Prompt Engineering,54,32,22,-0.04862381382009051,0.04862381382009051
Ansys Meshing,32,19,13,-0.04862381382009051,0.04862381382009051
Cantonese Chinese Language,32,19,13,-0.04862381382009051,0.04862381382009051
Arduino IDE,54,32,22,-0.04862381382009051,0.04862381382009051
Systems Simulation,32,19,13,-0.04862381382009051,0.04862381382009051
Adobe InDesign,179,106,73,-0.045489015014720025,0.045489015014720025
Java Full Stack Development,59,35,24,-0.045489015014719136,0.045489015014719136
Informatica Data Management,59,35,24,-0.045489015014719136,0.045489015014719136
Japanese Culture,59,35,24,-0.045489015014719136,0.045489015014719136
Long Term Relationship Building,52,32,20,0.04446660924592116,0.04446660924592116
Social Media Trends,37,22,15,-0.04367330866023433,0.04367330866023433
Marketing Software,37,22,15,-0.04367330866023433,0.04367330866023433
Piano Pedagogy,37,22,15,-0.04367330866023433,0.04367330866023433
Data Programming,37,22,15,-0.04367330866023433,0.04367330866023433
Microsoft Power BI Embedded,91,54,37,-0.042488825252575246,0.042488825252575246
Business Model Development,39,24,15,0.04148449968007206,0.04148449968007206
Talent Management,69,41,28,-0.04055925398336058,0.04055925398336058
Python,833,494,339,-0.0402753898813919,0.0402753898813919
Strategic Consulting,42,25,17,-0.03987102271049636,0.03987102271049636
Macroeconomics,42,25,17,-0.03987102271049636,0.03987102271049636
Leadership Studies,42,25,17,-0.03987102271049636,0.03987102271049636
Bayesian Statistics,74,44,30,-0.0385860883865794,0.0385860883865794
Numerical Linear Algebra,111,68,43,0.037724213228133685,0.037724213228133685
Product Development Methodologies,111,66,45,-0.03685897224050372,0.03685897224050372
GitLab,47,28,19,-0.03685897224050372,0.03685897224050372
Social Media Marketing,440,269,171,0.03563652979764953,0.03563652979764953
Predictive Modeling,26,16,10,0.03563652979764864,0.03563652979764864
Video Journalism,26,16,10,0.03563652979764864,0.03563652979764864
Analysis,26,16,10,0.03563652979764864,0.03563652979764864
Security Information and Event Management,84,50,34,-0.035334581701407686,0.035334581701407686
Marketing Operations Management,52,31,21,-0.03441398324743794,0.03441398324743794
English Typing,168,100,68,-0.03302461171445703,0.03302461171445703
Robot Operating System,94,56,38,-0.03276619708675188,0.03276619708675188
Marketing Analytics,215,128,87,-0.03205848297370295,0.03205848297370295
Research Analyst,415,247,168,-0.03187376172907941,0.03187376172907941
Altium Designer,49,30,19,0.03096362409825737,0.03096362409825737
End User Research,49,30,19,0.03096362409825737,0.03096362409825737
Microsoft Visual Studio Code,49,30,19,0.03096362409825737,0.03096362409825737
Parametric Statistics,67,40,27,-0.02923262450544062,0.02923262450544062
Programming,31,19,12,0.028337227316037605,0.028337227316037605
Java Compilers,265,158,107,-0.02808484819579027,0.02808484819579027
Automated Machine Learning,124,74,50,-0.02752280484120817,0.02752280484120817
Political Science,25,15,10,-0.026883827183684872,0.026883827183684872
Finance Law,25,15,10,-0.026883827183684872,0.026883827183684872
Databricks,25,15,10,-0.026883827183684872,0.026883827183684872
Sales Customer Service,77,47,30,0.026654433481821727,0.026654433481821727
Sustainability Research,82,50,32,0.024384653000214307,0.024384653000214307
Product Design Support,30,18,12,-0.02430650616938479,0.02430650616938479
Multivariate Analysis,30,18,12,-0.02430650616938479,0.02430650616938479
Stakeholder Management,30,18,12,-0.02430650616938479,0.02430650616938479
Unity Container,30,18,12,-0.02430650616938479,0.02430650616938479
Economic Statistics,59,36,23,0.023963245492924834,0.023963245492924834
Applied Statistics,819,489,330,-0.023570791266584123,0.023570791266584123
Energy Policy Analysis,36,22,14,0.02301806583843735,0.02301806583843735
Excel Models,35,21,14,-0.022444308238320332,0.022444308238320332
Virtual Training,35,21,14,-0.022444308238320332,0.022444308238320332
Options Trading,35,21,14,-0.022444308238320332,0.022444308238320332
Supplier Process Improvement,35,21,14,-0.022444308238320332,0.022444308238320332
Engaging Public Speaker,4606,2800,1806,0.02205810711678402,0.02205810711678402
B2B Marketing Strategy,64,39,25,0.021273625797287643,0.021273625797287643
Salesforce,50,30,20,-0.019046796476404282,0.019046796476404282
Microsoft Access,50,30,20,-0.019046796476404282,0.019046796476404282
Tax Consulting,50,30,20,-0.019046796476404282,0.019046796476404282
Food Product Development,97,59,38,0.01896947731243781,0.01896947731243781
Java Media Framework,41,25,16,0.018969477312436922,0.018969477312436922
Differential Analysis,41,25,16,0.018969477312436922,0.018969477312436922
Data Analytics Software,74,45,29,0.016973468665722358,0.016973468665722358
Google Suite,135,82,53,0.016768045493265937,0.016768045493265937
System Integration Testing,46,28,18,0.01578476124491779,0.01578476124491779
Asynchronous JavaScript,145,87,58,-0.013736554819650415,0.013736554819650415
Spanish Teaching,360,218,142,0.011095420881531481,0.011095420881531481
Digital Marketing Analytics,66,40,26,0.007808647174908145,0.007808647174908145
Multivariable Calculus,73,44,29,-0.005249668118987749,0.005249668118987749
VHSIC Hardware Description Language,68,41,27,-0.004841171381281484,0.004841171381281484
Business To Business,28,17,11,0.003505251614856597,0.003505251614856597
Business Analytics,28,17,11,0.003505251614856597,0.003505251614856597
Arduino Uno,275,166,109,0.002722166218534827,0.002722166218534827
Hospitality Management,43,26,17,-0.0014047418827001223,0.0014047418827001223
Cold Calling,33,20,13,0.0013866067545711402,0.0013866067545711402
French Drain,33,20,13,0.0013866067545711402,0.0013866067545711402
Integrated Marketing Communications,126,76,50,-0.0010311893942320793,0.0010311893942320793
Outbound Marketing,38,23,15,-0.00018819672049552594,0.00018819672049552594
