feature,coefficient,abs_coefficient
skill::Behavioral Healthcare,-0.07418928251166768,0.07418928251166768
skill::Laboratory Instrumentation,-0.07383513955137481,0.07383513955137481
skill::Biomedical Science,-0.07207776249452996,0.07207776249452996
skill::Hospital Settings,-0.07184943694797555,0.07184943694797555
skill::Electron Microscopy,0.07061354424070104,0.07061354424070104
skill::Healthcare Delivery Process,-0.0681418705211293,0.0681418705211293
skill::Cellular Neuroscience,-0.06190893665963342,0.06190893665963342
skill::Sleep Training,-0.06171379365372634,0.06171379365372634
skill::Patient Advocacy,-0.06167936069609978,0.06167936069609978
skill::CPR Certified,-0.055086152477497735,0.055086152477497735
skill::Clinical Practice,-0.05472149110458815,0.05472149110458815
skill::Pharmaceutical Science,-0.05414139218926586,0.05414139218926586
skill::Internal Medicine and Pediatrics,-0.05398302431334293,0.05398302431334293
skill::Medical Communications,0.05361339223976764,0.05361339223976764
skill::Cardiac Life Support Certification,0.04935193368889633,0.04935193368889633
skill::Neuro ICU,0.0476959302566096,0.0476959302566096
skill::Clinical Trial Management,-0.04502462797047447,0.04502462797047447
prestige,0.04171297472037482,0.04171297472037482
skill::Science Literacy,-0.04105014463359778,0.04105014463359778
skill::Clinical Education,-0.03905587604302156,0.03905587604302156
skill::Patient Family,-0.035211998533762404,0.035211998533762404
skill::Clinical Research,-0.03513192171538482,0.03513192171538482
skill::Sleep Medicine,-0.03476645386168538,0.03476645386168538
skill::Technical Nursing Skills,-0.03439936195376415,0.03439936195376415
skill::International Arbitration,-0.03246743438044929,0.03246743438044929
skill::Acute Care RN,-0.031914130302379,0.031914130302379
skill::Hospital Policy,-0.030800793063038324,0.030800793063038324
skill::Transmission Electron Microscopy,-0.030717241394568003,0.030717241394568003
skill::Basic Life Support Certification,-0.02990334886905615,0.02990334886905615
skill::Acute Patient Care,-0.02807880469719436,0.02807880469719436
skill::Vital Signs,0.027988952605035318,0.027988952605035318
skill::Patient Safety Standards,-0.025913522186176857,0.025913522186176857
skill::Biophysical Chemistry,-0.023278063812694417,0.023278063812694417
skill::Pediatric Intensive Care Unit,-0.022975465358670014,0.022975465358670014
skill::Biochemical Genetics,-0.02100873434854625,0.02100873434854625
skill::Intensive Care Medicine,-0.01925202421006993,0.01925202421006993
skill::Phlebotomy,0.018125417884283117,0.018125417884283117
skill::Critical Care Nursing,0.017829599284089923,0.017829599284089923
skill::Patient Safety,0.013220003750450649,0.013220003750450649
skill::Inpatient Obstetric Nursing,0.013102841377092835,0.013102841377092835
skill::Epic EMR,0.01173883452682728,0.01173883452682728
skill::Oncology Nursing,0.011738082539321414,0.011738082539321414
skill::School of Nursing,0.010309647690717847,0.010309647690717847
skill::HIPAA,-0.006588318408887629,0.006588318408887629
skill::Hospital Services,-0.006325848425703375,0.006325848425703375
skill::Collaboration in Healthcare,-0.005327227116520795,0.005327227116520795
skill::Medical Terminology,-0.0036651036897108508,0.0036651036897108508
skill::Pediatric Emergency Medicine,-0.0028285998766199275,0.0028285998766199275
skill::Clinical Research Coordinator,0.0004615550262523456,0.0004615550262523456
university_country_te,-6.1668054931931635e-15,6.1668054931931635e-15
degree_te,-6.1668054931931635e-15,6.1668054931931635e-15
