skill,users,target_users,non_target_users,log_odds_target,abs_log_odds
Adherent Cell Culture,553,33,520,-3.1595018729221627,3.1595018729221627
Direct Patient Care,40,2,38,-3.1506249331177436,3.1506249331177436
Laboratory Instrumentation,40,2,38,-3.1506249331177436,3.1506249331177436
Program Evaluation,56,3,53,-3.143176109104753,3.143176109104753
Collaboration in Healthcare,70,4,66,-3.1093819745836937,3.1093819745836937
Trial Practice,133,8,125,-3.1084970187737277,3.1084970187737277
DNA Extraction,54,3,51,-3.1050762628724824,3.1050762628724824
International Arbitration,38,2,36,-3.0972789524124504,3.0972789524124504
Biophysical Chemistry,51,3,48,-3.0450582531462294,3.0450582531462294
Applied Science,255,17,238,-3.028425853097087,3.028425853097087
Military Tactics,64,4,60,-3.0148233919586813,3.0148233919586813
Emr Training,135,9,126,-3.005207933259239,3.005207933259239
Biochemical Genetics,106,7,99,-3.0015120473204417,3.0015120473204417
Analytical Biochemistry,586,41,545,-2.9922668017346328,2.9922668017346328
Litigation Support,34,2,32,-2.981206781159697,2.981206781159697
Healthcare Delivery,75,5,70,-2.9671220412779578,2.9671220412779578
Electron Microscopy,47,3,44,-2.958983644374986,2.958983644374986
Fundamental Science,32,2,30,-2.917693375437371,2.917693375437371
Multi Color Flow Cytometry,58,4,54,-2.9103807285910834,2.9103807285910834
Life Science,555,42,513,-2.9080033771364016,2.9080033771364016
Healthcare Information Technology,241,18,223,-2.9078981056675044,2.9078981056675044
Particle Physics,96,7,89,-2.8955930284367044,2.8955930284367044
Global Health,31,2,29,-2.884356955169779,2.884356955169779
Science Education,95,7,88,-2.8843569551697783,2.8843569551697783
Weapons Training,81,6,75,-2.868587903051547,2.868587903051547
Psychological Research,93,7,86,-2.8614988170937288,2.8614988170937288
SPSS Statistics,130,10,120,-2.8565319194653918,2.8565319194653918
Court System,105,8,97,-2.8560436382056906,2.8560436382056906
Electronic Health,30,2,28,-2.8498707790986098,2.8498707790986098
Eight Disciplines Problem Solving,185,15,170,-2.8141526964965307,2.8141526964965307
Bacterial Cell Culture,29,2,27,-2.8141526964965307,2.8141526964965307
Professional Writing,52,4,48,-2.793743824865323,2.793743824865323
Construction Coordination,40,3,37,-2.7878353881791567,2.7878353881791567
Confocal Laser Scanning Microscopy,28,2,26,-2.777111424816182,2.777111424816182
Organic Synthesis,28,2,26,-2.777111424816182,2.777111424816182
Aggression Replacement Training,39,3,36,-2.7608067157912375,2.7608067157912375
Planning Appeals,107,9,98,-2.7550221732697073,2.7550221732697073
Clinical Laboratory Training,391,34,357,-2.7544334617949082,2.7544334617949082
Research Experiments,61,5,56,-2.74574996961213,2.74574996961213
Social,291,26,265,-2.7207275313879764,2.7207275313879764
Education Program Development,114,10,104,-2.7140692379395475,2.7140692379395475
Molecular Cloning,102,9,93,-2.7029270613863057,2.7029270613863057
Litigation Practice,26,2,24,-2.6986398093746864,2.6986398093746864
Protocol Buffers,34,33,1,2.6898229070246975,2.6898229070246975
Technology Transfer,25,2,23,-2.656967112974118,2.656967112974118
Continuing Medical Education,25,2,23,-2.656967112974118,2.656967112974118
Qualification in Immunohistochemistry,25,2,23,-2.656967112974118,2.656967112974118
Public Health Education,25,2,23,-2.656967112974118,2.656967112974118
Action Research,262,25,237,-2.647746595008475,2.647746595008475
Experimental Research,652,64,588,-2.627169126596764,2.627169126596764
Healthcare Marketing,44,4,40,-2.613482001034379,2.613482001034379
Technical Editing,54,5,49,-2.613482001034379,2.613482001034379
Government Law,43,4,39,-2.5884806988289615,2.5884806988289615
Healthcare Effectiveness Data and Information Set,33,3,30,-2.581221138816158,2.581221138816158
Field Work,42,4,38,-2.562838268215624,2.562838268215624
Officer Training,61,6,55,-2.5608382675489567,2.5608382675489567
Computational Statistics,721,76,645,-2.5489918931523663,2.5489918931523663
Child Cardiopulmonary Resuscitation,32,3,29,-2.5478847185485662,2.5478847185485662
Acidbase Chemistry,32,3,29,-2.5478847185485662,2.5478847185485662
Special Events,233,25,208,-2.5175180127726353,2.5175180127726353
Exploratory Research,31,3,28,-2.513398542477397,2.513398542477397
Crisis Intervention,31,3,28,-2.513398542477397,2.513398542477397
US GAAP Reporting,28,27,1,2.492463472866202,2.492463472866202
Plant Biotechnology,289,32,257,-2.4860370544662587,2.4860370544662587
ImageJ,48,5,43,-2.484270269554373,2.484270269554373
Medical Device Development,30,3,27,-2.4776804598753177,2.4776804598753177
Malpractice Litigation,47,5,42,-2.461013407390106,2.461013407390106
Molecular and Cellular Biology,29,3,26,-2.440639188194969,2.440639188194969
Social Science Research,46,5,41,-2.4372027586963876,2.4372027586963876
Local Training,46,5,41,-2.4372027586963876,2.4372027586963876
