feature,coefficient,abs_coefficient
skill::External Audit,0.11039335055866789,0.11039335055866789
skill::Basic Life Support Certification,-0.10799721152275164,0.10799721152275164
skill::Social Services,-0.10550275883771149,0.10550275883771149
skill::Social Statistics,-0.10343844978579116,0.10343844978579116
skill::Behavioral Science,-0.10232149740336029,0.10232149740336029
skill::International Financial Reporting Standards,0.10032532442592718,0.10032532442592718
skill::Clinical Research Protocols,-0.09846337981391062,0.09846337981391062
skill::Biophysical Chemistry,-0.09483882006124415,0.09483882006124415
prestige,-0.09341414426477412,0.09341414426477412
skill::Crisis Intervention,-0.0911513951826416,0.0911513951826416
skill::Multi Color Flow Cytometry,-0.08334794842207742,0.08334794842207742
skill::Molecular Cloning,-0.08294241876499113,0.08294241876499113
skill::Trial Practice,-0.08182926264495326,0.08182926264495326
n_skills,-0.07963657179410956,0.07963657179410956
skill::Court Dockets,-0.07933168947969396,0.07933168947969396
skill::Electronic Medical Record System,-0.07783343897976965,0.07783343897976965
skill::Epic Systems,-0.07499103967101257,0.07499103967101257
skill::Medical Terminology,-0.07479251302083617,0.07479251302083617
skill::Internal Control Evaluation,0.07419778406405743,0.07419778406405743
skill::Clinical Research,-0.07314107723723746,0.07314107723723746
skill::DNA Extraction,-0.07142663150513268,0.07142663150513268
skill::External Auditing,0.07099332803234712,0.07099332803234712
skill::Science Literacy,-0.06896129432283787,0.06896129432283787
skill::Corporate Financial Reporting,0.06784494514604139,0.06784494514604139
skill::Healthcare Regulations,-0.06392946209483445,0.06392946209483445
skill::Family Mediation,-0.06060224868322504,0.06060224868322504
skill::Genetic Mutations,-0.05989740356362793,0.05989740356362793
skill::DNA Sequencing,-0.0593648679602342,0.0593648679602342
skill::Direct Patient Care,-0.05874564120978505,0.05874564120978505
skill::Planning Appeals,-0.05707102740708114,0.05707102740708114
user_country_te,0.05684027733839688,0.05684027733839688
skill::Cellular Neuroscience,-0.05252878443812176,0.05252878443812176
skill::qPCR,-0.05175103588213371,0.05175103588213371
skill::Phlebotomy,-0.04943670039953232,0.04943670039953232
skill::Spectroscopy,-0.048504219282251446,0.048504219282251446
skill::Collaboration in Healthcare,-0.04768999621616285,0.04768999621616285
skill::Hospital Services,-0.04747085110495806,0.04747085110495806
skill::Clinical Trial Management,-0.044145378169233446,0.044145378169233446
skill::Cardiac Life Support Certification,-0.04302760859821642,0.04302760859821642
skill::Patient Safety,-0.03893217811544798,0.03893217811544798
skill::Raman Microscopy,-0.03551697477824847,0.03551697477824847
skill::Medical Assisting,-0.034500251397428135,0.034500251397428135
skill::Biomedical Science,-0.03444459866242135,0.03444459866242135
entry_job_year,-0.033142329509558054,0.033142329509558054
skill::HIPAA,-0.03307689527821916,0.03307689527821916
skill::Audit Management,-0.03195037259240435,0.03195037259240435
skill::Financial Auditing,-0.02550900946709539,0.02550900946709539
skill::Hospital Policy,-0.02359439211496696,0.02359439211496696
skill::Financial Accounting,0.021944981375772762,0.021944981375772762
skill::Molecular Genetics,-0.018949278657640123,0.018949278657640123
skill::Generally Accepted Accounting Principles,0.017552228063718273,0.017552228063718273
skill::Electron Microscopy,-0.01653259073745243,0.01653259073745243
skill::US GAAP Reporting,-0.014599424644350342,0.014599424644350342
skill::Comparative Law,-0.012790274781356034,0.012790274781356034
skill::Epic EMR,0.009553677010071907,0.009553677010071907
skill::Tax Accounting,0.004100001204763672,0.004100001204763672
university_country_te,-3.9479034472820927e-14,3.9479034472820927e-14
degree_te,-3.9479034472820927e-14,3.9479034472820927e-14
