skill,users,popular_users,nonpopular_users,popular_rate,log_odds_popular,abs_log_odds
real estate finance,23,1,22,0.043478260869565216,-0.7956802357259942,0.7956802357259942
strategic negotiations,23,1,22,0.043478260869565216,-0.7956802357259942,0.7956802357259942
real estate economics,23,1,22,0.043478260869565216,-0.7956802357259942,0.7956802357259942
thermodynamic systems,23,1,22,0.043478260869565216,-0.7956802357259942,0.7956802357259942
property management systems,23,1,22,0.043478260869565216,-0.7956802357259942,0.7956802357259942
software prototyping,23,1,22,0.043478260869565216,-0.7956802357259942,0.7956802357259942
client confidentiality,23,1,22,0.043478260869565216,-0.7956802357259942,0.7956802357259942
fashion merchandising,71,4,67,0.056338028169014086,-0.7956802357259942,0.7956802357259942
merchandising standards,55,3,52,0.05454545454545454,-0.7956802357259942,0.7956802357259942
public affairs,23,1,22,0.043478260869565216,-0.7956802357259942,0.7956802357259942
information technology infrastructure library,39,2,37,0.05128205128205128,-0.7956802357259942,0.7956802357259942
content development,23,1,22,0.043478260869565216,-0.7956802357259942,0.7956802357259942
pharmaceutical sales,23,1,22,0.043478260869565216,-0.7956802357259942,0.7956802357259942
mobile application development,70,17,53,0.24285714285714285,0.7948891924037236,0.7948891924037236
ruby version management,66,16,50,0.24242424242424243,0.7937570100014373,0.7937570100014373
sqlite,66,16,50,0.24242424242424243,0.7937570100014373,0.7937570100014373
redis,58,14,44,0.2413793103448276,0.7910294256305495,0.7910294256305495
microsoft sql server databases,303,74,229,0.24422442244224424,0.7872660612611302,0.7872660612611302
investment management,479,117,362,0.24425887265135698,0.7857838246657001,0.7857838246657001
organizational development,102,6,96,0.058823529411764705,-0.785370866067133,0.785370866067133
aerospace engineering,91,22,69,0.24175824175824176,0.7845585220158435,0.7845585220158435
paid social media advertising,433,27,406,0.06235565819861432,-0.7810279589391236,0.7810279589391236
technology sales,108,26,82,0.24074074074074073,0.7767164050277566,0.7767164050277566
global brand development,54,3,51,0.05555555555555555,-0.7764488737981061,0.7764488737981061
fundraising software,54,3,51,0.05555555555555555,-0.7764488737981061,0.7764488737981061
italian language,54,3,51,0.05555555555555555,-0.7764488737981061,0.7764488737981061
persistent data structure,54,3,51,0.05555555555555555,-0.7764488737981061,0.7764488737981061
dynamic html,71,17,54,0.23943661971830985,0.7763701446364859,0.7763701446364859
ai strategy,34,8,26,0.23529411764705882,0.77529139588031,0.77529139588031
aws iot,34,8,26,0.23529411764705882,0.77529139588031,0.77529139588031
sql database design,101,6,95,0.0594059405940594,-0.7749541052088773,0.7749541052088773
cybersecurity incident management,67,16,51,0.23880597014925373,0.7741485386130611,0.7741485386130611
wealth management,63,15,48,0.23809523809523808,0.7716461913579789,0.7716461913579789
social media monitoring,85,5,80,0.058823529411764705,-0.7711391268098762,0.7711391268098762
equity research,844,204,640,0.24170616113744076,0.7706888195222832,0.7706888195222832
vue.js,92,22,70,0.2391304347826087,0.7702725647683675,0.7702725647683675
commercial software development,30,7,23,0.23333333333333334,0.7702725647683666,0.7702725647683666
food science,38,2,36,0.05263157894736842,-0.768651563338075,0.768651563338075
public engagement,38,2,36,0.05263157894736842,-0.768651563338075,0.768651563338075
discrete event simulation,38,2,36,0.05263157894736842,-0.768651563338075,0.768651563338075
quantum information science,38,2,36,0.05263157894736842,-0.768651563338075,0.768651563338075
doubleentry bookkeeping systems,38,2,36,0.05263157894736842,-0.768651563338075,0.768651563338075
scholarship of teaching and learning,254,61,193,0.24015748031496062,0.7661296277188518,0.7661296277188518
media communications,69,4,65,0.057971014492753624,-0.7656027804887167,0.7656027804887167
electronic circuit design,109,26,83,0.23853211009174313,0.7646680665115824,0.7646680665115824
creative writing,193,12,181,0.06217616580310881,-0.763157044020434,0.763157044020434
oral written communication skills,394,25,369,0.06345177664974619,-0.7611023228476608,0.7611023228476608
finance law,53,3,50,0.05660377358490566,-0.7568404024097299,0.7568404024097299
public health research,53,3,50,0.05660377358490566,-0.7568404024097299,0.7568404024097299
computer graphics design,22,5,17,0.22727272727272727,0.754917176685173,0.754917176685173
x86 assembly languages,68,16,52,0.23529411764705882,0.754917176685173,0.754917176685173
cryptocurrency trading,22,5,17,0.22727272727272727,0.754917176685173,0.754917176685173
sass,22,5,17,0.22727272727272727,0.754917176685173,0.754917176685173
trade finance,43,10,33,0.23255813953488372,0.7521997837086722,0.7521997837086722
kotlin,106,25,81,0.2358490566037736,0.7504453972937792,0.7504453972937792
executive calendar management,68,4,64,0.058823529411764705,-0.7502178616492374,0.7502178616492374
eeg,22,1,21,0.045454545454545456,-0.7502178616492365,0.7502178616492365
specialty retail environment,22,1,21,0.045454545454545456,-0.7502178616492365,0.7502178616492365
exercise physiology,22,1,21,0.045454545454545456,-0.7502178616492365,0.7502178616492365
retail loss prevention,22,1,21,0.045454545454545456,-0.7502178616492365,0.7502178616492365
