company_name,rcid,top_first_job_count,latest_profile_count_proxy,in_excel_popular_list,excel_industry,hq_state,suggested_bucket,suggested_action,confidence,manual_decision,notes
Millennium Management LLC,818770.0,0,0,1,,,other_or_review,review,low,1,no exact match or sector keyword
Optiver Holding BV,946155.0,0,0,1,,,other_or_review,review,low,1,no exact match or sector keyword
Point72 LP,8062190.0,0,0,1,,,other_or_review,review,low,1,no exact match or sector keyword
Two Sigma Investments LP,1245348.0,0,0,1,,,finance,review,medium,1,finance keyword: \binvest
Harvard University,,0,0,0,,,exclude,review,high,0,exclude pattern: \buniversity\b
PricewaterhouseCoopers International Ltd.,,0,0,0,,,consulting,review,high,1,exact mapping
The Johns Hopkins University,,0,0,0,,,exclude,review,high,0,exclude pattern: \buniversity\b
Epic Systems Corp.,,0,0,0,,,tech,review,high,1,exact mapping
"Mass General Brigham, Inc.",,0,0,0,,,other_or_review,review,low,0,no rule match
Princeton University,,0,0,0,,,exclude,review,high,0,exclude pattern: \buniversity\b
"Bloomberg, Inc.",,0,0,0,,,finance,review,high,1,exact mapping
KPMG International Cooperative,,0,0,0,,,consulting,review,high,1,exact mapping
"Blackstone, Inc.",,0,0,0,,,finance,review,high,1,exact mapping
Alphasights Holdings Ltd.,,0,0,0,,,consulting,review,high,1,exact mapping
"BlackRock, Inc.",,0,0,0,,,finance,review,high,1,exact mapping
"Teach For America, Inc.",,0,0,0,,,other_or_review,review,low,0,no rule match
The Walt Disney Co.,,0,0,0,,,other_or_review,review,low,1,no rule match
"Marsh & McLennan Cos., Inc.",,0,0,0,,,other_or_review,review,low,0,no rule match
New York University,,0,0,0,,,exclude,review,high,0,exclude pattern: \buniversity\b
State of California,,0,0,0,,,exclude,review,high,0,exclude pattern: \bstate of\b
"Cornerstone Research, Inc.",,0,0,0,,,consulting,review,high,1,exact mapping
UBS Group AG,,0,0,0,,,finance,review,high,1,exact mapping
The University of Texas System,,0,0,0,,,exclude,review,high,0,exclude pattern: \buniversity\b
State of New York,,0,0,0,,,exclude,review,high,0,exclude pattern: \bstate of\b
Lockheed Martin Corp.,,0,0,0,,,other_or_review,review,low,1,no rule match
RTX Corp.,,0,0,0,,,other_or_review,review,low,1,no rule match
Weill Cornell Medicine,,0,0,0,,,other_or_review,review,low,0,no rule match
Dartmouth College,,0,0,0,,,exclude,review,high,0,exclude pattern: \bcollege\b
"Netflix, Inc.",,0,0,0,,,tech,review,high,1,exact mapping
The Children's Hospital of Philadelphia Foundation,,0,0,0,,,exclude,review,high,0,exclude pattern: \bhospital\b
The Mount Sinai Hospital,,0,0,0,,,exclude,review,high,0,exclude pattern: \bhospital\b
Comcast Corp.,,0,0,0,,,other_or_review,review,low,1,no rule match
Roblox Corp.,,0,0,0,,,tech,review,high,1,exact mapping
Clearview Healthcare Partners LLC,,0,0,0,,,other_or_review,review,low,0,no rule match
The Johns Hopkins Health System Corp.,,0,0,0,,,exclude,review,high,0,exclude pattern: \bhealth\b
Federal Reserve System,,0,0,0,,,other_or_review,review,low,1,no rule match
The Children's Medical Center Corp.,,0,0,0,,,exclude,review,high,0,exclude pattern: \bmedical\b
Carnegie Mellon University,,0,0,0,,,exclude,review,high,0,exclude pattern: \buniversity\b
University of Washington,,0,0,0,,,exclude,review,high,0,exclude pattern: \buniversity\b
University of North Carolina System,,0,0,0,,,exclude,review,high,0,exclude pattern: \buniversity\b
U.S. Navy,,0,0,0,,,other_or_review,review,low,0,no rule match
"DoorDash, Inc.",,0,0,0,,,other_or_review,review,low,1,no rule match
University of Southern California,,0,0,0,,,exclude,review,high,0,exclude pattern: \buniversity\b
SoundCommerce LLC,,0,0,0,,,other_or_review,review,low,0,no rule match
Kirkland & Ellis LLP,,0,0,0,,,other_or_review,review,low,0,no rule match
Atlassian Corp.,,0,0,0,,,other_or_review,review,low,1,no rule match
FMR LLC,,0,0,0,,,other_or_review,review,low,0,no rule match
Georgetown University,,0,0,0,,,exclude,review,high,0,exclude pattern: \buniversity\b
Memorial Sloan Kettering Cancer Center,,0,0,0,,,other_or_review,review,low,0,no rule match
NYU Langone Health,,0,0,0,,,exclude,review,high,0,exclude pattern: \bhealth\b
Intel Corp.,,0,0,0,,,other_or_review,review,low,1,no rule match
California Institute of Technology,,0,0,0,,,exclude,review,high,0,exclude pattern: \binstitute\b
United Talent Agency LLC (California),,0,0,0,,,other_or_review,review,low,0,no rule match
Georgia Institute of Technology,,0,0,0,,,exclude,review,high,0,exclude pattern: \binstitute\b
"Endeavor Group Holdings, Inc.",,0,0,0,,,other_or_review,review,low,0,no rule match
Government of France,,0,0,0,,,exclude,review,high,0,exclude pattern: \bgovernment\b
"Walmart, Inc.",,0,0,0,,,other_or_review,review,low,0,no rule match
Guggenheim Capital LLC,,0,0,0,,,finance,review,medium,1,finance keyword: \bcapital\b
CAA Holdings LLC,,0,0,0,,,other_or_review,review,low,0,no rule match
"Databricks, Inc.",,0,0,0,,,other_or_review,review,low,1,no rule match
William Marsh Rice University,,0,0,0,,,exclude,review,high,0,exclude pattern: \buniversity\b
"The NewYork-Presbyterian Healthcare System, Inc.",,0,0,0,,,other_or_review,review,low,0,no rule match
General Dynamics Corp.,,0,0,0,,,other_or_review,review,low,0,no rule match
"Berkshire Hathaway, Inc.",,0,0,0,,,other_or_review,review,low,1,no rule match
"Datadog, Inc.",,0,0,0,,,other_or_review,review,low,1,no rule match
Roche Holding AG,,0,0,0,,,other_or_review,review,low,0,no rule match
"Veeva Systems, Inc.",,0,0,0,,,tech,review,medium,1,tech keyword: \bsystems\b
CVS Health Corp.,,0,0,0,,,exclude,review,high,0,exclude pattern: \bhealth\b
TikTok USDS Joint Venture LLC,,0,0,0,,,other_or_review,review,low,1,no rule match
"Nomura Holdings, Inc.",,0,0,0,,,other_or_review,review,low,0,no rule match
University of Wisconsin,,0,0,0,,,exclude,review,high,0,exclude pattern: \buniversity\b
"ScribeAmerica, Inc.",,0,0,0,,,other_or_review,review,low,0,no rule match
Emory University,,0,0,0,,,exclude,review,high,0,exclude pattern: \buniversity\b
Imc Global Holdings LLC,,0,0,0,,,other_or_review,review,low,1,no rule match
City of New York (New York),,0,0,0,,,other_or_review,review,low,0,no rule match
"UnitedHealth Group, Inc.",,0,0,0,,,other_or_review,review,low,0,no rule match
Point72 Capital Holdings LP,,0,0,0,,,finance,review,medium,1,finance keyword: \bcapital\b
MLM Trust B,,0,0,0,,,other_or_review,review,low,0,no rule match
"Paul, Weiss, Rifkind, Wharton & Garrison LLP",,0,0,0,,,other_or_review,review,low,0,no rule match
"KKR & Co., Inc.",,0,0,0,,,other_or_review,review,low,1,no rule match
GFH CSEVA LLC,,0,0,0,,,other_or_review,review,low,0,no rule match
"ServiceNow, Inc.",,0,0,0,,,other_or_review,review,low,1,no rule match
Centerview Partners Advisory Holdings LLC,,0,0,0,,,consulting,review,medium,1,consulting keyword: \badvis
J.P. Morgan Private Bank,,0,0,0,,,finance,review,medium,1,finance keyword: \bbank\b
"Ringle English Education Service Co., Ltd.",,0,0,0,,,other_or_review,review,low,0,no rule match
"Omnicom Group, Inc.",,0,0,0,,,other_or_review,review,low,0,no rule match
"Duolingo, Inc.",,0,0,0,,,other_or_review,review,low,1,no rule match
Pfizer Inc.,,0,0,0,,,other_or_review,review,low,0,no rule match
"PJT Partners, Inc.",,0,0,0,,,other_or_review,review,low,0,no rule match
D. E. Shaw & Co. LP,,0,0,0,,,other_or_review,review,low,1,no rule match
Stanford University School of Engineering,,0,0,0,,,exclude,review,high,0,exclude pattern: \buniversity\b
Allianz SE,,0,0,0,,,other_or_review,review,low,0,no rule match
"WSP Global, Inc.",,0,0,0,,,other_or_review,review,low,0,no rule match
Abbott Laboratories,,0,0,0,,,other_or_review,review,low,0,no rule match
WBC Holdings LP,,0,0,0,,,other_or_review,review,low,0,no rule match
