employer_name,users,top_major,top_school,cum_share_of_nonmissing_unreviewed,suggested_bucket,confidence,notes,manual_decision
"Gartner, Inc.",19,Missing,Cornell University,0.7333026255181944,other_or_review,low,no rule match,0
Government of Saudi Arabia,19,Engineering,University of California Berkeley,0.7376784891754952,exclude,high,exclude pattern: \bgovernment\b,0
HSBC Holdings Plc,19,Business,University of Michigan,0.742054353,other_or_review,low,no rule match,0
"T. Rowe Price Group, Inc.",19,Economics,Stanford University,0.7464302164900968,other_or_review,low,no rule match,0
Tencent Holdings Ltd.,19,Engineering,University of Michigan,0.7508060801473975,other_or_review,low,no rule match,0
The State University of New York,19,Missing,University of Michigan,0.7551819438046983,exclude,high,exclude pattern: \buniversity\b,0
Yeshiva University,19,Missing,Columbia University in the City of New York,0.7595578074619991,exclude,high,exclude pattern: \buniversity\b,0
BP Plc,18,Engineering,University of Notre Dame,0.7637033625057578,other_or_review,low,no rule match,0
Brown University Health,18,Missing,Brown University,0.7678489175495163,exclude,high,exclude pattern: \buniversity\b,0
"Cadence Design Systems, Inc.",18,Engineering,University of California Berkeley,0.771994473,tech,medium,tech keyword: \bsystems?\b,1
Cleary Gottlieb Steen & Hamilton LLP,18,Missing,Cornell University,0.7761400276370336,other_or_review,low,no rule match,0
"Figma, Inc.",18,Engineering,University of California Berkeley,0.7802855826807923,other_or_review,low,no rule match,1
George Washington University,18,Missing,University of Michigan,0.7844311377245509,exclude,high,exclude pattern: \buniversity\b,0
"ICF International, Inc.",18,Missing,Duke University,0.7885766927683096,other_or_review,low,no rule match,0
Japan Exchange & Teaching Program,18,Missing,University of Michigan,0.7927222478120681,other_or_review,low,no rule match,0
New York Life Insurance Co.,18,Economics,University of California Berkeley,0.7968678028558268,other_or_review,low,no rule match,0
Old Mission Holdings LLC,18,Engineering,Wharton School of Business at University of Pennsylvania,0.8010133578995855,other_or_review,low,no rule match,0
Proskauer Rose LLP,18,Missing,Cornell University,0.8051589129433441,other_or_review,low,no rule match,0
Truist Financial Corp.,18,Economics,University of Notre Dame,0.8093044679871028,finance,medium,finance keyword: \bfinancial\b,1
"Walgreens Boots Alliance, Inc.",18,Missing,University of Michigan,0.8134500230308613,other_or_review,low,no rule match,0
"lululemon athletica, Inc.",18,Missing,University of California Berkeley,0.817595578,other_or_review,low,no rule match,0
AllianceBernstein LP,17,Engineering,Washington University in St. Louis,0.8215108245048365,other_or_review,low,no rule match,0
"Crisis Text Line, Inc.",17,Missing,Washington University in St. Louis,0.8254260709350529,other_or_review,low,no rule match,0
"Gap, Inc.",17,Missing,University of California Berkeley,0.8293413173652695,other_or_review,low,no rule match,0
"International Rescue Committee, Inc.",17,Missing,University of California Berkeley,0.833256564,other_or_review,low,no rule match,0
"Morningstar, Inc.",17,Economics,University of Michigan,0.8371718102257024,other_or_review,low,no rule match,0
Roland Berger Holding Gmbh & Co. KGaA,17,Economics,Northwestern University,0.841087057,other_or_review,low,no rule match,0
"Snowflake, Inc.",17,Engineering,University of California Berkeley,0.8450023030861354,other_or_review,low,no rule match,1
"The MathWorks, Inc.",17,Engineering,University of Michigan,0.8489175495163519,other_or_review,low,no rule match,0
The Rockefeller University,17,Missing,Brown University,0.8528327959465684,exclude,high,exclude pattern: \buniversity\b,0
The State of North Carolina,17,Nursing,Duke University School of Nursing,0.8567480423767849,exclude,high,exclude pattern: \bstate of\b,0
